time,humpbackwhale,ships,bluewhale,finwhale,dolphins,explosions,sonar
2018-11-14 00:00:00+00:00,1.0,2,230,0.0,0.0,43,
2018-11-15 00:00:00+00:00,1.0,5,86,0.0,0.0,5,
2018-11-16 00:00:00+00:00,1.0,1,232,0.0,0.0,0,
2018-11-17 00:00:00+00:00,1.0,3,4,0.0,0.0,0,
2018-11-18 00:00:00+00:00,1.0,2,20,1.0,0.0,0,
2018-11-19 00:00:00+00:00,1.0,1,120,1.0,0.0,7,
2018-11-20 00:00:00+00:00,1.0,2,40,0.0,0.0,0,
2018-11-21 00:00:00+00:00,1.0,1,12,0.0,0.0,0,
2018-11-22 00:00:00+00:00,1.0,2,18,1.0,0.0,0,
2018-11-23 00:00:00+00:00,1.0,2,16,1.0,0.0,0,
2018-11-24 00:00:00+00:00,1.0,0,390,1.0,0.0,0,
2018-11-25 00:00:00+00:00,1.0,2,166,1.0,0.0,0,
2018-11-26 00:00:00+00:00,1.0,3,200,1.0,0.0,0,
2018-11-27 00:00:00+00:00,1.0,1,62,1.0,0.0,0,
2018-11-28 00:00:00+00:00,1.0,1,86,1.0,0.0,0,
2018-11-29 00:00:00+00:00,1.0,5,52,1.0,0.0,0,
2018-11-30 00:00:00+00:00,1.0,2,130,1.0,0.0,0,
2018-12-01 00:00:00+00:00,1.0,2,78,1.0,0.0,0,
2018-12-02 00:00:00+00:00,1.0,2,0,0.0,0.0,0,
2018-12-03 00:00:00+00:00,1.0,4,0,1.0,0.0,19,
2018-12-04 00:00:00+00:00,1.0,3,80,1.0,0.0,5,
2018-12-05 00:00:00+00:00,1.0,0,20,1.0,0.0,0,
2018-12-06 00:00:00+00:00,1.0,2,12,1.0,0.0,22,
2018-12-07 00:00:00+00:00,1.0,1,252,1.0,0.0,33,
2018-12-08 00:00:00+00:00,1.0,3,1012,1.0,0.0,0,
2018-12-09 00:00:00+00:00,1.0,1,46,1.0,0.0,0,
2018-12-10 00:00:00+00:00,1.0,0,248,1.0,0.0,59,
